citation	class	resolved_base	expansions	first_resolution
SHA256SUMS.txt	path	templates	1	templates/SHA256SUMS.txt
_d02-controller-payload.reply.jsonl	context	member-rel	1	templates/D/fixture-bytes/d02-pending-with-harvested-reply/_d02-controller-payload.reply.jsonl
_d03-payloads/	context	member-rel	1	templates/D/fixture-bytes/d03-31-numbered-events/_d03-payloads/
_meta/<member>.modes.tsv	wildcard	group-rel	69	templates/A1/_meta/510b-empty-vs-omitted.modes.tsv
_meta/<member>.mutation.txt	wildcard	group-rel	36	templates/A1/_meta/510e-dupkey-known-reversed.mutation.txt
_meta/shim-inactive-equivalence.*.txt	wildcard	group-rel	3	templates/G2/_meta/shim-inactive-equivalence.g2un.txt
a1/SHA256SUMS.txt	path	arms	1	arms/a1/SHA256SUMS.txt
a1/ae-launch.err	path	twd	1	twd-precursor/a1/ae-launch.err
a1/ae-launch.out	path	twd	1	twd-precursor/a1/ae-launch.out
a1/events/events.<label>.jsonl	wildcard	twd	12	a1/events/events.base-c1.jsonl
a1/fs-manifests/manifest.<label>.txt	wildcard	twd	12	a1/fs-manifests/manifest.base-c1.txt
a1/meta.at-launch.txt	path	twd	1	twd-precursor/a1/meta.at-launch.txt
a1/meta.final.txt	path	twd	1	twd-precursor/a1/meta.final.txt
a1/panes/panes.<label>.txt	wildcard	twd	12	a1/panes/panes.base-c1.txt
a1/run-manifest.txt	path	twd	1	twd-precursor/a1/run-manifest.txt
a1/stamps/stamp.<label>.txt	wildcard	twd	12	a1/stamps/stamp.base-c1.txt
a1/tmux/tmux.<label>.txt	wildcard	twd	12	a1/tmux/tmux.base-c1.txt
a1/watchdog/watchdog.<label>.log	wildcard	twd	8	a1/watchdog/watchdog.base-c1.log
a2/SHA256SUMS.txt	path	arms	1	arms/a2/SHA256SUMS.txt
a2/ae-launch.err	path	twd	1	twd-precursor/a2/ae-launch.err
a2/ae-launch.out	path	twd	1	twd-precursor/a2/ae-launch.out
a2/agent-stdin.log	path	twd	1	twd-precursor/a2/agent-stdin.log
a2/events/events.<label>.jsonl	wildcard	twd	66	a2/events/events.final.jsonl
a2/fs-manifests/manifest.<label>.txt	wildcard	twd	66	a2/fs-manifests/manifest.final.txt
a2/meta.at-launch.txt	path	twd	1	twd-precursor/a2/meta.at-launch.txt
a2/meta.final.txt	path	twd	1	twd-precursor/a2/meta.final.txt
a2/panes/panes.<label>.txt	wildcard	twd	66	a2/panes/panes.final.txt
a2/run-manifest.txt	path	twd	1	twd-precursor/a2/run-manifest.txt
a2/stamps/stamp.<label>.txt	wildcard	twd	66	a2/stamps/stamp.final.txt
a2/tmux/tmux.<label>.txt	wildcard	twd	66	a2/tmux/tmux.final.txt
a2/watchdog/watchdog.<label>.log	wildcard	twd	64	a2/watchdog/watchdog.obs-c01.log
a3/SHA256SUMS.txt	path	arms	1	arms/a3/SHA256SUMS.txt
a3/ae-launch.err	path	twd	1	twd-precursor/a3/ae-launch.err
a3/ae-launch.out	path	twd	1	twd-precursor/a3/ae-launch.out
a3/agent-stdin.log	path	twd	1	twd-precursor/a3/agent-stdin.log
a3/events/events.<label>.jsonl	wildcard	twd	15	a3/events/events.base-c1.jsonl
a3/fs-manifests/manifest.<label>.txt	wildcard	twd	15	a3/fs-manifests/manifest.base-c1.txt
a3/meta.at-launch.txt	path	twd	1	twd-precursor/a3/meta.at-launch.txt
a3/meta.final.txt	path	twd	1	twd-precursor/a3/meta.final.txt
a3/panes/panes.<label>.txt	wildcard	twd	15	a3/panes/panes.base-c1.txt
a3/producer-view.phaseA-injected.txt	path	twd	1	twd-precursor/a3/producer-view.phaseA-injected.txt
a3/producer-view.phaseB-displaced.txt	path	twd	1	twd-precursor/a3/producer-view.phaseB-displaced.txt
a3/run-manifest.txt	path	twd	1	twd-precursor/a3/run-manifest.txt
a3/stamps/stamp.<label>.txt	wildcard	twd	15	a3/stamps/stamp.base-c1.txt
a3/tmux/tmux.<label>.txt	wildcard	twd	15	a3/tmux/tmux.base-c1.txt
a3/watchdog/watchdog.<label>.log	wildcard	twd	11	a3/watchdog/watchdog.base-c1.log
activity-sources.txt	context	case-rel	32	arms/A3/c01-dead-ro/activity-sources.txt
activity-window.txt	context	case-rel	2	arms/A2/c01-filters-ro/activity-window.txt
admissibility-ledger.txt	context	case-rel	155	arms/A1/c01-healthy-ro/admissibility-ledger.txt
aefake.c	context	case-rel	1	arms/A4/harness/aefake.c
agent-stdin.log	context	twdarm-rel	2	twd-precursor/a2/agent-stdin.log
arm.sh	context	twdarm-rel	1	twd-precursor/harness/arm.sh
arm1.sh	context	twdarm-rel	1	twd-precursor/harness/arm1.sh
arm2.sh	context	twdarm-rel	1	twd-precursor/harness/arm2.sh
arm3.sh	context	twdarm-rel	1	twd-precursor/harness/arm3.sh
arms/	path	tree	1	arms/
arms/*/harness/committed-bytes-redproof.sh	wildcard	tree	6	arms/A1/harness/committed-bytes-redproof.sh
arms/*/harness/gate-redproof.sh	wildcard	tree	9	arms/A1/harness/gate-redproof.sh
arms/*/harness/manifest-tree-gate.sh	wildcard	tree	9	arms/A1/harness/manifest-tree-gate.sh
arms/<ARM>/CASES.tsv	wildcard	tree	9	arms/A1/CASES.tsv
attention-fields.txt	context	case-rel	32	arms/A3/c01-dead-ro/attention-fields.txt
bin-listing.txt	context	case-rel	7	arms/A5/a5-clean-controlled-path/bin-listing.txt
case-schema-check.py	context	case-rel	9	arms/A1/harness/case-schema-check.py
case-schema.tsv	context	case-rel	9	arms/A1/harness/case-schema.tsv
case.txt	context	case-rel	155	arms/A1/c01-healthy-ro/case.txt
checklist.txt	context	case-rel	7	arms/A5/a5-clean-controlled-path/checklist.txt
clients.after.txt	context	case-rel	11	arms/A4/c01-status-live-live/clients.after.txt
clients.before.txt	context	case-rel	11	arms/A4/c01-status-live-live/clients.before.txt
committed-bytes-check.py	context	case-rel	9	arms/A1/harness/committed-bytes-check.py
consumers.tsv	context	case-rel	155	arms/A1/c01-healthy-ro/consumers.tsv
controller-mutation.txt	context	case-rel	19	arms/A4/c05-020b-barrier-rw/controller-mutation.txt
date-shim.log	context	case-rel	3	arms/A2/c01-filters-ro/date-shim.log
date-shim/date	path	templates	1	templates/date-shim/date
derive-discrimination.py	context	case-rel	1	arms/A6/harness/derive-discrimination.py
discrimination.txt	context	case-rel	1	arms/A6/a6-threshold-fixed-clock/discrimination.txt
docs/migration/evidence/batch-c-artifacts/arms/A1/<case>/	wildcard	repo	40	docs/migration/evidence/batch-c-artifacts/arms/A1/c01-healthy-ro/
docs/migration/evidence/batch-c-artifacts/arms/A2/<case>/	wildcard	repo	3	docs/migration/evidence/batch-c-artifacts/arms/A2/c01-filters-ro/
docs/migration/evidence/batch-c-artifacts/arms/A3/<case>/	wildcard	repo	21	docs/migration/evidence/batch-c-artifacts/arms/A3/c01-dead-ro/
docs/migration/evidence/batch-c-artifacts/arms/A3b/<case>/	wildcard	repo	13	docs/migration/evidence/batch-c-artifacts/arms/A3b/c01-dead-over-stale-ro/
docs/migration/evidence/batch-c-artifacts/arms/A4/<case>/	wildcard	repo	8	docs/migration/evidence/batch-c-artifacts/arms/A4/c01-status-live-live/
docs/migration/evidence/batch-c-artifacts/arms/A5/<case>/	wildcard	repo	8	docs/migration/evidence/batch-c-artifacts/arms/A5/a5-clean-controlled-path/
docs/migration/evidence/batch-c-artifacts/arms/A6/<case>/	wildcard	repo	14	docs/migration/evidence/batch-c-artifacts/arms/A6/a6-c01-m1-control-ro/
docs/migration/evidence/batch-c-artifacts/arms/A7/<case>/	wildcard	repo	37	docs/migration/evidence/batch-c-artifacts/arms/A7/a7-c01-meta-multi-equals-ro/
docs/migration/evidence/batch-c-artifacts/arms/D/<case>/	wildcard	repo	20	docs/migration/evidence/batch-c-artifacts/arms/D/d01-controller-only-twin-twin/
docs/migration/evidence/batch-c-artifacts/templates/	path	repo	1	templates/
docs/migration/evidence/batch-c-artifacts/twd-precursor/	path	repo	1	twd-precursor/
docs/migration/evidence/twd-precursor.md	path	repo	1	/Users/ckriech/projects/clemens33/ae-rust/docs/migration/evidence/twd-precursor.md
enumerate.py	context	twdarm-rel	1	twd-precursor/harness/enumerate.py
env-tab-selfcheck.txt	context	case-rel	155	arms/A1/c01-healthy-ro/env-tab-selfcheck.txt
env.txt	context	case-rel	155	arms/A1/c01-healthy-ro/env.txt
events.bytes.jsonl	context	case-rel	32	arms/A7/a7-c01-meta-multi-equals-ro/events.bytes.jsonl
events.jsonl	context	session-rel	76	templates/A1/fixture-bytes/510b-empty-vs-omitted/sessions/ta1b/events.jsonl
fixture-mtimes.txt	context	case-rel	2	arms/A2/c01-filters-ro/fixture-mtimes.txt
fs-manifests/manifest.<label>.txt	wildcard	twdarm-rel	93	twd-precursor/a1/fs-manifests/manifest.base-c1.txt
harness/	path	templates	1	templates/harness/
helper-refresh-equivalence.txt	context	case-rel	1	arms/D/d02-requests-vs-reply-writer-barrier/helper-refresh-equivalence.txt
hook-inactive-equivalence.txt	context	case-rel	7	arms/A4/c05-020b-barrier-rw/hook-inactive-equivalence.txt
hook-patch/	path	tree	1	hook-patch/
hook-patch/hook.patch	path	tree	1	hook-patch/hook.patch
hook.patch	context	case-rel	7	arms/A4/c05-020b-barrier-rw/hook.patch
identity-405j-record.txt	context	armroot-rel	1	arms/A7/identity-405j-record.txt
lib.sh	context	twdarm-rel	1	twd-precursor/harness/lib.sh
manifest.after.tsv	context	case-rel	154	arms/A1/c01-healthy-ro/manifest.after.tsv
manifest.before.tsv	context	case-rel	154	arms/A1/c01-healthy-ro/manifest.before.tsv
manifest.diff.txt	context	case-rel	154	arms/A1/c01-healthy-ro/manifest.diff.txt
member.mutation.txt	context	case-rel	30	arms/A6/a6-c02-m2-wrong-ref-ro/member.mutation.txt
messages/	context	session-rel	58	templates/A1/fixture-bytes/510b-empty-vs-omitted/sessions/ta1b/messages/
meta.bytes.txt	context	case-rel	34	arms/A7/a7-c01-meta-multi-equals-ro/meta.bytes.txt
order-discrimination.txt	context	armroot-rel	1	arms/A7/order-discrimination.txt
out/<label>.stderr	wildcard	case-rel	187	arms/A1/c01-healthy-ro/out/events-tail.stderr
out/<label>.stdout	wildcard	case-rel	1257	arms/A1/c01-healthy-ro/out/agents.stdout
out/<label>.tmuxtrace	wildcard	case-rel	1249	arms/A1/c01-healthy-ro/out/agents.tmuxtrace
out/<stage>/	wildcard	case-rel	4	arms/A1/c20-405k-live/out/s0-baseline-clocale/
out/list-json.stdout	context	case-rel	120	arms/A1/c01-healthy-ro/out/list-json.stdout
out/s0-baseline-clocale/	context	case-rel	1	arms/A1/c20-405k-live/out/s0-baseline-clocale/
out/status.stdout	context	case-rel	108	arms/A1/c01-healthy-ro/out/status.stdout
pane-fill-summary.txt	context	case-rel	1	arms/A4/c02-status-016b-live/pane-fill-summary.txt
panefull.<pane>.txt	wildcard	case-rel	2	arms/A4/c02-status-016b-live/panefull.0.txt
panes.<label>.txt	wildcard	twdsub-rel	93	twd-precursor/a1/panes/panes.base-c1.txt
path-cite-resolver.py	context	case-rel	9	arms/A1/harness/path-cite-resolver.py
platform-note.txt	context	armroot-rel	1	arms/A5/platform-note.txt
producer-view.*.txt	wildcard	twdarm-rel	2	twd-precursor/a3/producer-view.phaseA-injected.txt
pty-attach.py	context	case-rel	6	arms/A1/harness/pty-attach.py
publish.sh	context	twdarm-rel	1	twd-precursor/harness/publish.sh
run-manifest.txt	context	twdarm-rel	3	twd-precursor/a1/run-manifest.txt
runall.sh	context	twdarm-rel	1	twd-precursor/harness/runall.sh
sessions/<s>/events.jsonl	wildcard	member-rel	76	templates/A1/fixture-bytes/510b-empty-vs-omitted/sessions/ta1b/events.jsonl
sessions/<s>/messages/*	wildcard	member-rel	146	templates/A1/fixture-bytes/510b-empty-vs-omitted/sessions/ta1b/messages/b4-ref-present.send.HL3vY2.txt
sessions/<s>/meta	wildcard	member-rel	77	templates/A1/fixture-bytes/510b-empty-vs-omitted/sessions/ta1b/meta
sessions/<session>/	wildcard	member-rel	78	templates/A1/fixture-bytes/510b-empty-vs-omitted/sessions/ta1b/
specimens/SHA256SUMS.txt	path	twd	1	twd-precursor/specimens/SHA256SUMS.txt
specimens/summary.<arm>.json	wildcard	twd	3	specimens/summary.a1.json
templates/	path	tree	1	templates/
templates/<GROUP>/fixture-bytes/<member>	wildcard	tree	69	templates/A1/fixture-bytes/510b-empty-vs-omitted
templates/A2/_meta/composite.txt	path	tree	1	templates/A2/_meta/composite.txt
templates/A2/fixture-bytes/composite/	path	tree	1	templates/A2/fixture-bytes/composite/
templates/FINGERPRINTS.superseded-pre-locale-fix.tsv	path	tree	1	templates/FINGERPRINTS.superseded-pre-locale-fix.tsv
tmux-shim-equivalence.txt	context	case-rel	101	arms/A1/c20-405k-live/tmux-shim-equivalence.txt
tmux.after.txt	context	case-rel	147	arms/A1/c01-healthy-ro/tmux.after.txt
tmux.at-barrier-before.txt	context	case-rel	5	arms/A4/c05-020b-barrier-rw/tmux.at-barrier-before.txt
tmux.before.txt	context	case-rel	147	arms/A1/c01-healthy-ro/tmux.before.txt
twd-precursor/	path	tree	1	twd-precursor/
twd-precursor/<arm>/events/events.final.jsonl	wildcard	tree	3	twd-precursor/a1/events/events.final.jsonl
twd-precursor/harness/	path	tree	1	twd-precursor/harness/
twd-precursor/specimens/alert-specimens.*.jsonl	wildcard	tree	3	twd-precursor/specimens/alert-specimens.a1.jsonl
twd-precursor/specimens/alert-specimens.<arm>.jsonl	wildcard	tree	3	twd-precursor/specimens/alert-specimens.a1.jsonl
twd-precursor/specimens/specimens.<arm>.jsonl	wildcard	tree	3	twd-precursor/specimens/specimens.a1.jsonl
write-sums.sh	context	case-rel	9	arms/A1/harness/write-sums.sh
