idx	case	consumer	verdict	detail	b_sessions	s_sessions	b_cover	s_cover
99	arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
101	arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
102	arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
105	arms/A1/c07-dupkey-known-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
107	arms/A1/c07-dupkey-known-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
109	arms/A1/c07-dupkey-known-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
110	arms/A1/c07-dupkey-known-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
113	arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
115	arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
117	arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
118	arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
121	arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
123	arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
125	arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
126	arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
129	arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
131	arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
133	arms/A1/c09-dupkey-unknown-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
134	arms/A1/c09-dupkey-unknown-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
137	arms/A1/c09-dupkey-unknown-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
139	arms/A1/c09-dupkey-unknown-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
141	arms/A1/c09-dupkey-unknown-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
142	arms/A1/c09-dupkey-unknown-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
145	arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
147	arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
149	arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
150	arms/A1/c10-dupkey-unknown-rev-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
153	arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
155	arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
157	arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
158	arms/A1/c10-dupkey-unknown-rev-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
161	arms/A1/c11-routing-known-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
163	arms/A1/c11-routing-known-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
165	arms/A1/c11-routing-known-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
166	arms/A1/c11-routing-known-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
169	arms/A1/c11-routing-known-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
171	arms/A1/c11-routing-known-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
173	arms/A1/c11-routing-known-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
174	arms/A1/c11-routing-known-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
177	arms/A1/c12-routing-omitted-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
179	arms/A1/c12-routing-omitted-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
181	arms/A1/c12-routing-omitted-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
182	arms/A1/c12-routing-omitted-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
185	arms/A1/c12-routing-omitted-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
187	arms/A1/c12-routing-omitted-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
189	arms/A1/c12-routing-omitted-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
190	arms/A1/c12-routing-omitted-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
193	arms/A1/c13-same-display-routing-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
195	arms/A1/c13-same-display-routing-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
197	arms/A1/c13-same-display-routing-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
198	arms/A1/c13-same-display-routing-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
201	arms/A1/c13-same-display-routing-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
203	arms/A1/c13-same-display-routing-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
205	arms/A1/c13-same-display-routing-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
206	arms/A1/c13-same-display-routing-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
209	arms/A1/c14-display-only-legacy-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
211	arms/A1/c14-display-only-legacy-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
213	arms/A1/c14-display-only-legacy-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
214	arms/A1/c14-display-only-legacy-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
217	arms/A1/c14-display-only-legacy-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
219	arms/A1/c14-display-only-legacy-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
221	arms/A1/c14-display-only-legacy-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
222	arms/A1/c14-display-only-legacy-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
225	arms/A1/c15-meta-unknown-keys-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
227	arms/A1/c15-meta-unknown-keys-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
229	arms/A1/c15-meta-unknown-keys-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
230	arms/A1/c15-meta-unknown-keys-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
233	arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
235	arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
237	arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
238	arms/A1/c15-meta-unknown-keys-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
241	arms/A1/c16-events-unknown-keys-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
243	arms/A1/c16-events-unknown-keys-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
245	arms/A1/c16-events-unknown-keys-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
246	arms/A1/c16-events-unknown-keys-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
249	arms/A1/c16-events-unknown-keys-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
251	arms/A1/c16-events-unknown-keys-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
253	arms/A1/c16-events-unknown-keys-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
254	arms/A1/c16-events-unknown-keys-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
257	arms/A1/c17-unknown-action-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
259	arms/A1/c17-unknown-action-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
261	arms/A1/c17-unknown-action-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
262	arms/A1/c17-unknown-action-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
265	arms/A1/c17-unknown-action-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
267	arms/A1/c17-unknown-action-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
269	arms/A1/c17-unknown-action-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
270	arms/A1/c17-unknown-action-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
273	arms/A1/c18-no-trailing-newline-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
275	arms/A1/c18-no-trailing-newline-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
277	arms/A1/c18-no-trailing-newline-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
278	arms/A1/c18-no-trailing-newline-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
281	arms/A1/c18-no-trailing-newline-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
283	arms/A1/c18-no-trailing-newline-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
285	arms/A1/c18-no-trailing-newline-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
286	arms/A1/c18-no-trailing-newline-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
289	arms/A1/c19-partial-tail-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
291	arms/A1/c19-partial-tail-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
293	arms/A1/c19-partial-tail-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
294	arms/A1/c19-partial-tail-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
297	arms/A1/c19-partial-tail-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
299	arms/A1/c19-partial-tail-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
301	arms/A1/c19-partial-tail-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
302	arms/A1/c19-partial-tail-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
305	arms/A1/c20-405k-live/consumers.tsv	s0-baseline/list	fixture-abort	no-capture				
307	arms/A1/c20-405k-live/consumers.tsv	s0-baseline/list-all	fixture-abort	no-capture				
309	arms/A1/c20-405k-live/consumers.tsv	s0-baseline-clocale/list	fixture-abort	no-capture				
311	arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/list	fixture-abort	no-capture				
313	arms/A1/c20-405k-live/consumers.tsv	s1-extra-pane/list-all	fixture-abort	no-capture				
315	arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/list	fixture-abort	no-capture				
317	arms/A1/c20-405k-live/consumers.tsv	s2-extra-pane-and-missing-roster-pane/list-all	fixture-abort	no-capture				
319	arms/A2/c01-filters-ro/consumers.tsv	list	layout-open	semantic-held	4	10	1	1
321	arms/A2/c01-filters-ro/consumers.tsv	ls	layout-open	semantic-held	4	10	1	1
323	arms/A2/c01-filters-ro/consumers.tsv	list_running	layout-open	semantic-held	4	10	1	1
325	arms/A2/c01-filters-ro/consumers.tsv	ls_running	layout-open	semantic-held	4	10	1	1
327	arms/A2/c01-filters-ro/consumers.tsv	list_all	semantic-fail	shared-order ['tg1', 'tg2b', 'tg2wu', 'twda1', 'tg2bl', 'tg2un', 'tg6a', 'tg6b', 'twda2', 'twda3'] vs ['tg1', 'tg2b', 'tg2bl', 'tg2un', 'tg2wu', 'tg6a', 'tg6b', 'twda1', 'twda2', 'twda3']	10	10	1	1
329	arms/A2/c01-filters-ro/consumers.tsv	ls_all	semantic-fail	shared-order ['tg1', 'tg2b', 'tg2wu', 'twda1', 'tg2bl', 'tg2un', 'tg6a', 'tg6b', 'twda2', 'twda3'] vs ['tg1', 'tg2b', 'tg2bl', 'tg2un', 'tg2wu', 'tg6a', 'tg6b', 'twda1', 'twda2', 'twda3']	10	10	1	1
331	arms/A2/c01-filters-ro/consumers.tsv	list_stopped	layout-open	semantic-held	6	0	1	1
333	arms/A2/c01-filters-ro/consumers.tsv	ls_stopped	layout-open	semantic-held	6	0	1	1
335	arms/A2/c01-filters-ro/consumers.tsv	list_needsattn	layout-open	semantic-held	3	5	1	1
337	arms/A2/c01-filters-ro/consumers.tsv	ls_needsattn	layout-open	semantic-held	3	5	1	1
339	arms/A2/c01-filters-ro/consumers.tsv	list_needsme	layout-open	semantic-held	3	5	1	1
341	arms/A2/c01-filters-ro/consumers.tsv	ls_needsme	layout-open	semantic-held	3	5	1	1
343	arms/A2/c01-filters-ro/consumers.tsv	list_needs	layout-open	semantic-held	3	5	1	1
345	arms/A2/c01-filters-ro/consumers.tsv	ls_needs	layout-open	semantic-held	3	5	1	1
347	arms/A2/c01-filters-ro/consumers.tsv	list_attn	layout-open	semantic-held	3	5	1	1
349	arms/A2/c01-filters-ro/consumers.tsv	ls_attn	layout-open	semantic-held	3	5	1	1
351	arms/A2/c01-filters-ro/consumers.tsv	list_active	residual-fail	empty-state-copy vs empty	0	0	1	1
353	arms/A2/c01-filters-ro/consumers.tsv	ls_active	residual-fail	empty-state-copy vs empty	0	0	1	1
355	arms/A2/c01-filters-ro/consumers.tsv	list_busy	residual-fail	empty-state-copy vs empty	0	0	1	1
357	arms/A2/c01-filters-ro/consumers.tsv	ls_busy	residual-fail	empty-state-copy vs empty	0	0	1	1
359	arms/A2/c01-filters-ro/consumers.tsv	inter_needsattnall	layout-open	semantic-held	3	5	1	1
361	arms/A2/c01-filters-ro/consumers.tsv	inter_allneedsattn	layout-open	semantic-held	3	5	1	1
363	arms/A2/c01-filters-ro/consumers.tsv	inter_activeall	residual-fail	empty-state-copy vs empty	0	0	1	1
365	arms/A2/c01-filters-ro/consumers.tsv	inter_allactive	residual-fail	empty-state-copy vs empty	0	0	1	1
367	arms/A2/c01-filters-ro/consumers.tsv	inter_needsattnstopped	layout-open	semantic-held	3	0	1	1
369	arms/A2/c01-filters-ro/consumers.tsv	inter_activestopped	residual-fail	empty-state-copy vs empty	0	0	1	1
371	arms/A2/c01-filters-ro/consumers.tsv	list_badflag	exact	bytes	0	0	1	1
372	arms/A2/c01-filters-ro/consumers.tsv	list_help	exact	bytes	0	0	1	1
373	arms/A2/c01-filters-ro/consumers.tsv	win_inside_list_active	layout-open	semantic-held	1	0	1	1
375	arms/A2/c01-filters-ro/consumers.tsv	win_inside_list_busy	layout-open	semantic-held	1	0	1	1
376	arms/A2/c01-filters-ro/consumers.tsv	win_inside_active_all	layout-open	semantic-held	1	0	1	1
377	arms/A2/c01-filters-ro/consumers.tsv	win_inside_all_active	layout-open	semantic-held	1	0	1	1
378	arms/A2/c01-filters-ro/consumers.tsv	win_inside_active_stopped	layout-open	semantic-held	1	0	1	1
379	arms/A2/c01-filters-ro/consumers.tsv	win_inside_stopped_active	layout-open	semantic-held	1	0	1	1
380	arms/A2/c01-filters-ro/consumers.tsv	win_inside_needsattn_active	residual-fail	empty-state-copy vs empty	0	0	1	1
381	arms/A2/c01-filters-ro/consumers.tsv	win_inside_active_needsattn	residual-fail	empty-state-copy vs empty	0	0	1	1
382	arms/A2/c01-filters-ro/consumers.tsv	win_outside_list_active	residual-fail	empty-state-copy vs empty	0	0	1	1
384	arms/A2/c01-filters-ro/consumers.tsv	win_outside_list_busy	residual-fail	empty-state-copy vs empty	0	0	1	1
385	arms/A2/c01-filters-ro/consumers.tsv	win_outside_active_all	residual-fail	empty-state-copy vs empty	0	0	1	1
386	arms/A2/c01-filters-ro/consumers.tsv	win_outside_all_active	residual-fail	empty-state-copy vs empty	0	0	1	1
387	arms/A2/c01-filters-ro/consumers.tsv	win_outside_active_stopped	residual-fail	empty-state-copy vs empty	0	0	1	1
388	arms/A2/c01-filters-ro/consumers.tsv	win_outside_stopped_active	residual-fail	empty-state-copy vs empty	0	0	1	1
389	arms/A2/c01-filters-ro/consumers.tsv	win_outside_needsattn_active	residual-fail	empty-state-copy vs empty	0	0	1	1
390	arms/A2/c01-filters-ro/consumers.tsv	win_outside_active_needsattn	residual-fail	empty-state-copy vs empty	0	0	1	1
391	arms/A2/c01-filters-rw/consumers.tsv	list	layout-open	semantic-held	4	10	1	1
393	arms/A2/c01-filters-rw/consumers.tsv	ls	layout-open	semantic-held	4	10	1	1
395	arms/A2/c01-filters-rw/consumers.tsv	list_running	layout-open	semantic-held	4	10	1	1
397	arms/A2/c01-filters-rw/consumers.tsv	ls_running	layout-open	semantic-held	4	10	1	1
399	arms/A2/c01-filters-rw/consumers.tsv	list_all	semantic-fail	shared-order ['tg1', 'tg2b', 'tg2wu', 'twda1', 'tg2bl', 'tg2un', 'tg6a', 'tg6b', 'twda2', 'twda3'] vs ['tg1', 'tg2b', 'tg2bl', 'tg2un', 'tg2wu', 'tg6a', 'tg6b', 'twda1', 'twda2', 'twda3']	10	10	1	1
401	arms/A2/c01-filters-rw/consumers.tsv	ls_all	semantic-fail	shared-order ['tg1', 'tg2b', 'tg2wu', 'twda1', 'tg2bl', 'tg2un', 'tg6a', 'tg6b', 'twda2', 'twda3'] vs ['tg1', 'tg2b', 'tg2bl', 'tg2un', 'tg2wu', 'tg6a', 'tg6b', 'twda1', 'twda2', 'twda3']	10	10	1	1
403	arms/A2/c01-filters-rw/consumers.tsv	list_stopped	layout-open	semantic-held	6	0	1	1
405	arms/A2/c01-filters-rw/consumers.tsv	ls_stopped	layout-open	semantic-held	6	0	1	1
407	arms/A2/c01-filters-rw/consumers.tsv	list_needsattn	layout-open	semantic-held	3	5	1	1
409	arms/A2/c01-filters-rw/consumers.tsv	ls_needsattn	layout-open	semantic-held	3	5	1	1
411	arms/A2/c01-filters-rw/consumers.tsv	list_needsme	layout-open	semantic-held	3	5	1	1
413	arms/A2/c01-filters-rw/consumers.tsv	ls_needsme	layout-open	semantic-held	3	5	1	1
415	arms/A2/c01-filters-rw/consumers.tsv	list_needs	layout-open	semantic-held	3	5	1	1
417	arms/A2/c01-filters-rw/consumers.tsv	ls_needs	layout-open	semantic-held	3	5	1	1
419	arms/A2/c01-filters-rw/consumers.tsv	list_attn	layout-open	semantic-held	3	5	1	1
421	arms/A2/c01-filters-rw/consumers.tsv	ls_attn	layout-open	semantic-held	3	5	1	1
423	arms/A2/c01-filters-rw/consumers.tsv	list_active	residual-fail	empty-state-copy vs empty	0	0	1	1
425	arms/A2/c01-filters-rw/consumers.tsv	ls_active	residual-fail	empty-state-copy vs empty	0	0	1	1
427	arms/A2/c01-filters-rw/consumers.tsv	list_busy	residual-fail	empty-state-copy vs empty	0	0	1	1
429	arms/A2/c01-filters-rw/consumers.tsv	ls_busy	residual-fail	empty-state-copy vs empty	0	0	1	1
431	arms/A2/c01-filters-rw/consumers.tsv	inter_needsattnall	layout-open	semantic-held	3	5	1	1
433	arms/A2/c01-filters-rw/consumers.tsv	inter_allneedsattn	layout-open	semantic-held	3	5	1	1
435	arms/A2/c01-filters-rw/consumers.tsv	inter_activeall	residual-fail	empty-state-copy vs empty	0	0	1	1
437	arms/A2/c01-filters-rw/consumers.tsv	inter_allactive	residual-fail	empty-state-copy vs empty	0	0	1	1
439	arms/A2/c01-filters-rw/consumers.tsv	inter_needsattnstopped	layout-open	semantic-held	3	0	1	1
441	arms/A2/c01-filters-rw/consumers.tsv	inter_activestopped	residual-fail	empty-state-copy vs empty	0	0	1	1
443	arms/A2/c01-filters-rw/consumers.tsv	list_badflag	exact	bytes	0	0	1	1
444	arms/A2/c01-filters-rw/consumers.tsv	list_help	exact	bytes	0	0	1	1
445	arms/A2/c01-filters-rw/consumers.tsv	win_inside_list_active	layout-open	semantic-held	1	0	1	1
447	arms/A2/c01-filters-rw/consumers.tsv	win_inside_list_busy	layout-open	semantic-held	1	0	1	1
448	arms/A2/c01-filters-rw/consumers.tsv	win_inside_active_all	layout-open	semantic-held	1	0	1	1
449	arms/A2/c01-filters-rw/consumers.tsv	win_inside_all_active	layout-open	semantic-held	1	0	1	1
450	arms/A2/c01-filters-rw/consumers.tsv	win_inside_active_stopped	layout-open	semantic-held	1	0	1	1
451	arms/A2/c01-filters-rw/consumers.tsv	win_inside_stopped_active	layout-open	semantic-held	1	0	1	1
452	arms/A2/c01-filters-rw/consumers.tsv	win_inside_needsattn_active	residual-fail	empty-state-copy vs empty	0	0	1	1
453	arms/A2/c01-filters-rw/consumers.tsv	win_inside_active_needsattn	residual-fail	empty-state-copy vs empty	0	0	1	1
454	arms/A2/c01-filters-rw/consumers.tsv	win_outside_list_active	residual-fail	empty-state-copy vs empty	0	0	1	1
456	arms/A2/c01-filters-rw/consumers.tsv	win_outside_list_busy	residual-fail	empty-state-copy vs empty	0	0	1	1
457	arms/A2/c01-filters-rw/consumers.tsv	win_outside_active_all	residual-fail	empty-state-copy vs empty	0	0	1	1
458	arms/A2/c01-filters-rw/consumers.tsv	win_outside_all_active	residual-fail	empty-state-copy vs empty	0	0	1	1
459	arms/A2/c01-filters-rw/consumers.tsv	win_outside_active_stopped	residual-fail	empty-state-copy vs empty	0	0	1	1
460	arms/A2/c01-filters-rw/consumers.tsv	win_outside_stopped_active	residual-fail	empty-state-copy vs empty	0	0	1	1
461	arms/A2/c01-filters-rw/consumers.tsv	win_outside_needsattn_active	residual-fail	empty-state-copy vs empty	0	0	1	1
462	arms/A2/c01-filters-rw/consumers.tsv	win_outside_active_needsattn	residual-fail	empty-state-copy vs empty	0	0	1	1
463	arms/A3/c01-dead-ro/consumers.tsv	list	layout-open	semantic-held	1	1	1	1
466	arms/A3/c01-dead-ro/consumers.tsv	list-needsattn	layout-open	semantic-held	1	0	1	1
