case	consumer	rc	phase	surface	normalised_argv	instrument	reason
arms/A1/c02-meta-mode-000-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c02-meta-mode-000-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c03-malformed-line-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c03-malformed-line-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status ta1b	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1b/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1b/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/ta1b/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status ta1b	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1b/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1b/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/ta1b/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status ta1c	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1c/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1c/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c05-recover-ref-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/ta1c/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status ta1c	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/ta1c/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/ta1c/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c05-recover-ref-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/ta1c/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg11	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg11/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg11/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c06-escapes-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg11/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg11	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg11/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg11/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c06-escapes-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg11/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c07-dupkey-known-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c07-dupkey-known-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c08-dupkey-known-rev-ro/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-json	0	P1	ae list	ae list --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-all	0	P1	ae list	ae list --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	list-all-json	0	P1	ae list	ae list --all --json	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	ls-alias	0	P1	ae ls	ae ls	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	ls-alias-all	0	P1	ae ls	ae ls --all	frozen	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	status	0	P1-ADJACENT	ae status	ae status tg1	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	next	1	P1-ADJACENT	ae next	ae next	frozen	a read, but not named by VISION:93 — not parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	requests-all	0	P1	helper:requests	<AE_HOME>/sessions/tg1/requests all	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	agents	0	P1-ADJACENT	helper:agents	<AE_HOME>/sessions/tg1/agents	generated-helper	a read, but not named by VISION:93 — not parity-gating
arms/A1/c08-dupkey-known-rev-rw/consumers.tsv	events-tail	143	P1	helper:events-tail	<AE_HOME>/sessions/tg1/events-tail	generated-helper	read surface NAMED by VISION:93 — parity-gating
arms/A1/c09-dupkey-unknown-ro/consumers.tsv	list	0	P1	ae list	ae list	frozen	read surface NAMED by VISION:93 — parity-gating
