# SC-509c key set for cross-derivation comparison. COMPARE SETS, NOT COUNTS.
# The key is (case, consumer, session, agent_ref). Neither the agent ref nor
# the locus-without-session is unique: 64 (case, consumer, ref) triples name an
# agent appearing under MORE THAN ONE session in the same digest.
# P128 = every agent whose OWN state is an agent-owned class (this derivation).
# P108 = P128 restricted to agents whose state equals the session attention.
# P88  = P108 restricted to the waiting-user class.
case	consumer	session	agent_ref	locus	from	to	session_attention	populations
arms/A2/c01-filters-rw	list_attn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_attn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_needs_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_needs_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_needsattn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_needsattn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_needsme_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_needsme_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_running_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	list_running_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_all_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_all_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_attn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_attn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_needs_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_needs_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_needsattn_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_needsattn_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_needsme_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_needsme_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_running_json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A2/c01-filters-rw	ls_running_json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c04-waiting-user-ro	list-all-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c04-waiting-user-ro	list-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c04-waiting-user-ro	list-needsattn-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c04-waiting-user-rw	list-all-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c04-waiting-user-rw	list-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c04-waiting-user-rw	list-needsattn-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c05-blocked-ro	list-all-json	tg2bl	fake:worker	sessions[tg2bl].agents[fake:worker].reason	null	blocked	blocked	P128+P108
arms/A3/c05-blocked-ro	list-json	tg2bl	fake:worker	sessions[tg2bl].agents[fake:worker].reason	null	blocked	blocked	P128+P108
arms/A3/c05-blocked-ro	list-needsattn-json	tg2bl	fake:worker	sessions[tg2bl].agents[fake:worker].reason	null	blocked	blocked	P128+P108
arms/A3/c05-blocked-rw	list-all-json	tg2bl	fake:worker	sessions[tg2bl].agents[fake:worker].reason	null	blocked	blocked	P128+P108
arms/A3/c05-blocked-rw	list-json	tg2bl	fake:worker	sessions[tg2bl].agents[fake:worker].reason	null	blocked	blocked	P128+P108
arms/A3/c05-blocked-rw	list-needsattn-json	tg2bl	fake:worker	sessions[tg2bl].agents[fake:worker].reason	null	blocked	blocked	P128+P108
arms/A3/c07-competing-ro	list-all-json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c07-competing-ro	list-json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c07-competing-ro	list-needsattn-json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c07-competing-rw	list-all-json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c07-competing-rw	list-json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c07-competing-rw	list-needsattn-json	tg2b	fake:lead	sessions[tg2b].agents[fake:lead].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3/c08-unanswered-vs-agent-owned-ro	list-active-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-ro	list-all-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-ro	list-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-ro	list-needsattn-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-rw	list-active-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-rw	list-all-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-rw	list-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3/c08-unanswered-vs-agent-owned-rw	list-needsattn-json	ta3g	fake:bravo	sessions[ta3g].agents[fake:bravo].reason	null	blocked	blocked	P128+P108
arms/A3b/c02-stale-over-waitinguser-ro	list-active-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-ro	list-all-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-ro	list-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-ro	list-needsattn-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-rw	list-active-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-rw	list-all-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-rw	list-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c02-stale-over-waitinguser-rw	list-needsattn-json	tpairstaleoverwaitinguser	fake:low	sessions[tpairstaleoverwaitinguser].agents[fake:low].reason	null	waiting-user	stale	P128
arms/A3b/c03-waitinguser-over-blocked-ro	list-all-json	tpairwaitinguseroverblocked	fake:high	sessions[tpairwaitinguseroverblocked].agents[fake:high].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3b/c03-waitinguser-over-blocked-ro	list-all-json	tpairwaitinguseroverblocked	fake:low	sessions[tpairwaitinguseroverblocked].agents[fake:low].reason	null	blocked	waiting-user	P128
arms/A3b/c03-waitinguser-over-blocked-ro	list-json	tpairwaitinguseroverblocked	fake:high	sessions[tpairwaitinguseroverblocked].agents[fake:high].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3b/c03-waitinguser-over-blocked-ro	list-json	tpairwaitinguseroverblocked	fake:low	sessions[tpairwaitinguseroverblocked].agents[fake:low].reason	null	blocked	waiting-user	P128
arms/A3b/c03-waitinguser-over-blocked-ro	list-needsattn-json	tpairwaitinguseroverblocked	fake:high	sessions[tpairwaitinguseroverblocked].agents[fake:high].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3b/c03-waitinguser-over-blocked-ro	list-needsattn-json	tpairwaitinguseroverblocked	fake:low	sessions[tpairwaitinguseroverblocked].agents[fake:low].reason	null	blocked	waiting-user	P128
arms/A3b/c03-waitinguser-over-blocked-rw	list-all-json	tpairwaitinguseroverblocked	fake:high	sessions[tpairwaitinguseroverblocked].agents[fake:high].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3b/c03-waitinguser-over-blocked-rw	list-all-json	tpairwaitinguseroverblocked	fake:low	sessions[tpairwaitinguseroverblocked].agents[fake:low].reason	null	blocked	waiting-user	P128
arms/A3b/c03-waitinguser-over-blocked-rw	list-json	tpairwaitinguseroverblocked	fake:high	sessions[tpairwaitinguseroverblocked].agents[fake:high].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3b/c03-waitinguser-over-blocked-rw	list-json	tpairwaitinguseroverblocked	fake:low	sessions[tpairwaitinguseroverblocked].agents[fake:low].reason	null	blocked	waiting-user	P128
arms/A3b/c03-waitinguser-over-blocked-rw	list-needsattn-json	tpairwaitinguseroverblocked	fake:high	sessions[tpairwaitinguseroverblocked].agents[fake:high].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A3b/c03-waitinguser-over-blocked-rw	list-needsattn-json	tpairwaitinguseroverblocked	fake:low	sessions[tpairwaitinguseroverblocked].agents[fake:low].reason	null	blocked	waiting-user	P128
arms/A3b/c04-blocked-over-throttled-ro	list-all-json	tpairblockedoverthrottled	fake:high	sessions[tpairblockedoverthrottled].agents[fake:high].reason	null	blocked	blocked	P128+P108
arms/A3b/c04-blocked-over-throttled-ro	list-json	tpairblockedoverthrottled	fake:high	sessions[tpairblockedoverthrottled].agents[fake:high].reason	null	blocked	blocked	P128+P108
arms/A3b/c04-blocked-over-throttled-ro	list-needsattn-json	tpairblockedoverthrottled	fake:high	sessions[tpairblockedoverthrottled].agents[fake:high].reason	null	blocked	blocked	P128+P108
arms/A3b/c04-blocked-over-throttled-rw	list-all-json	tpairblockedoverthrottled	fake:high	sessions[tpairblockedoverthrottled].agents[fake:high].reason	null	blocked	blocked	P128+P108
arms/A3b/c04-blocked-over-throttled-rw	list-json	tpairblockedoverthrottled	fake:high	sessions[tpairblockedoverthrottled].agents[fake:high].reason	null	blocked	blocked	P128+P108
arms/A3b/c04-blocked-over-throttled-rw	list-needsattn-json	tpairblockedoverthrottled	fake:high	sessions[tpairblockedoverthrottled].agents[fake:high].reason	null	blocked	blocked	P128+P108
arms/A3b/c06-competing-noclear-ro	list-all-json	tcompetingnoclear	fake:low	sessions[tcompetingnoclear].agents[fake:low].reason	null	waiting-user	dead	P128
arms/A3b/c06-competing-noclear-ro	list-json	tcompetingnoclear	fake:low	sessions[tcompetingnoclear].agents[fake:low].reason	null	waiting-user	dead	P128
arms/A3b/c06-competing-noclear-ro	list-needsattn-json	tcompetingnoclear	fake:low	sessions[tcompetingnoclear].agents[fake:low].reason	null	waiting-user	dead	P128
arms/A3b/c06-competing-noclear-rw	list-all-json	tcompetingnoclear	fake:low	sessions[tcompetingnoclear].agents[fake:low].reason	null	waiting-user	dead	P128
arms/A3b/c06-competing-noclear-rw	list-json	tcompetingnoclear	fake:low	sessions[tcompetingnoclear].agents[fake:low].reason	null	waiting-user	dead	P128
arms/A3b/c06-competing-noclear-rw	list-needsattn-json	tcompetingnoclear	fake:low	sessions[tcompetingnoclear].agents[fake:low].reason	null	waiting-user	dead	P128
arms/A4/c03-next-noattach-ro	list-needsattn-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
arms/A4/c03-next-noattach-rw	list-needsattn-json	tg2wu	fake:worker	sessions[tg2wu].agents[fake:worker].reason	null	waiting-user	waiting-user	P128+P108+P88
