# SC-017h's and SC-017r's duties over these agents are UNCHANGED (contract
# 2c832b31a890): what is absent is EVIDENCE, not obligation. Each session's meta is
# carried as a HASH and the captured agents output is scoped to its own capturing
# session, so no added row's roster is nameable from this corpus. Enumerated per
# occurrence so the gap has a size and a membership test and cannot absorb a
# session unnoticed.
case	consumer	added_session
arms/A1/c12-routing-omitted-ro	list	ta1r
arms/A1/c12-routing-omitted-ro	ls-alias	ta1r
arms/A1/c12-routing-omitted-rw	list	ta1r
arms/A1/c12-routing-omitted-rw	ls-alias	ta1r
arms/A1/c13-same-display-routing-ro	list	tg10
arms/A1/c13-same-display-routing-ro	ls-alias	tg10
arms/A1/c13-same-display-routing-rw	list	tg10
arms/A1/c13-same-display-routing-rw	ls-alias	tg10
arms/A1/c14-display-only-legacy-ro	list	tg1
arms/A1/c14-display-only-legacy-ro	ls-alias	tg1
arms/A1/c14-display-only-legacy-rw	list	tg1
arms/A1/c14-display-only-legacy-rw	ls-alias	tg1
arms/A1/c15-meta-unknown-keys-ro	list	tg1
arms/A1/c15-meta-unknown-keys-ro	ls-alias	tg1
arms/A1/c15-meta-unknown-keys-rw	list	tg1
arms/A1/c15-meta-unknown-keys-rw	ls-alias	tg1
arms/A1/c16-events-unknown-keys-ro	list	tg1
arms/A1/c16-events-unknown-keys-ro	ls-alias	tg1
arms/A1/c16-events-unknown-keys-rw	list	tg1
arms/A1/c16-events-unknown-keys-rw	ls-alias	tg1
arms/A1/c17-unknown-action-ro	list	tg7a
arms/A1/c17-unknown-action-ro	ls-alias	tg7a
arms/A1/c17-unknown-action-rw	list	tg7a
arms/A1/c17-unknown-action-rw	ls-alias	tg7a
arms/A1/c18-no-trailing-newline-ro	list	tg1
arms/A1/c18-no-trailing-newline-ro	ls-alias	tg1
arms/A1/c18-no-trailing-newline-rw	list	tg1
arms/A1/c18-no-trailing-newline-rw	ls-alias	tg1
arms/A1/c19-partial-tail-ro	list	tg1
arms/A1/c19-partial-tail-ro	ls-alias	tg1
arms/A1/c19-partial-tail-rw	list	tg1
arms/A1/c19-partial-tail-rw	ls-alias	tg1
arms/A2/c01-filters-ro	inter_activeall	tg1
arms/A2/c01-filters-ro	inter_activeall	tg2b
arms/A2/c01-filters-ro	inter_activeall	tg2bl
arms/A2/c01-filters-ro	inter_activeall	tg2un
arms/A2/c01-filters-ro	inter_activeall	tg2wu
arms/A2/c01-filters-ro	inter_activeall	tg6a
arms/A2/c01-filters-ro	inter_activeall	tg6b
arms/A2/c01-filters-ro	inter_activeall	twda1
arms/A2/c01-filters-ro	inter_activeall	twda2
arms/A2/c01-filters-ro	inter_activeall	twda3
arms/A2/c01-filters-ro	inter_allactive	tg1
arms/A2/c01-filters-ro	inter_allactive	tg2b
arms/A2/c01-filters-ro	inter_allactive	tg2bl
arms/A2/c01-filters-ro	inter_allactive	tg2un
arms/A2/c01-filters-ro	inter_allactive	tg2wu
arms/A2/c01-filters-ro	inter_allactive	tg6a
arms/A2/c01-filters-ro	inter_allactive	tg6b
arms/A2/c01-filters-ro	inter_allactive	twda1
arms/A2/c01-filters-ro	inter_allactive	twda2
arms/A2/c01-filters-ro	inter_allactive	twda3
arms/A2/c01-filters-ro	inter_allneedsattn	tg1
arms/A2/c01-filters-ro	inter_allneedsattn	tg2b
arms/A2/c01-filters-ro	inter_allneedsattn	tg2bl
arms/A2/c01-filters-ro	inter_allneedsattn	tg2un
arms/A2/c01-filters-ro	inter_allneedsattn	tg2wu
arms/A2/c01-filters-ro	inter_allneedsattn	tg6a
arms/A2/c01-filters-ro	inter_allneedsattn	tg6b
arms/A2/c01-filters-ro	inter_allneedsattn	twda1
arms/A2/c01-filters-ro	inter_allneedsattn	twda2
arms/A2/c01-filters-ro	inter_allneedsattn	twda3
arms/A2/c01-filters-ro	inter_needsattnall	tg1
arms/A2/c01-filters-ro	inter_needsattnall	tg2b
arms/A2/c01-filters-ro	inter_needsattnall	tg2bl
arms/A2/c01-filters-ro	inter_needsattnall	tg2un
arms/A2/c01-filters-ro	inter_needsattnall	tg2wu
arms/A2/c01-filters-ro	inter_needsattnall	tg6a
arms/A2/c01-filters-ro	inter_needsattnall	tg6b
arms/A2/c01-filters-ro	inter_needsattnall	twda1
arms/A2/c01-filters-ro	inter_needsattnall	twda2
arms/A2/c01-filters-ro	inter_needsattnall	twda3
arms/A2/c01-filters-ro	list	tg1
arms/A2/c01-filters-ro	list	tg2b
arms/A2/c01-filters-ro	list	tg2bl
arms/A2/c01-filters-ro	list	tg2un
arms/A2/c01-filters-ro	list	tg2wu
arms/A2/c01-filters-ro	list	tg6a
arms/A2/c01-filters-ro	list	tg6b
arms/A2/c01-filters-ro	list	twda1
arms/A2/c01-filters-ro	list	twda2
arms/A2/c01-filters-ro	list	twda3
arms/A2/c01-filters-ro	list_active	tg1
arms/A2/c01-filters-ro	list_active	tg2b
arms/A2/c01-filters-ro	list_active	tg2bl
arms/A2/c01-filters-ro	list_active	tg2un
arms/A2/c01-filters-ro	list_active	tg2wu
arms/A2/c01-filters-ro	list_active	tg6a
arms/A2/c01-filters-ro	list_active	tg6b
arms/A2/c01-filters-ro	list_active	twda1
arms/A2/c01-filters-ro	list_active	twda2
arms/A2/c01-filters-ro	list_active	twda3
arms/A2/c01-filters-ro	list_all	tg1
arms/A2/c01-filters-ro	list_all	tg2b
arms/A2/c01-filters-ro	list_all	tg2wu
arms/A2/c01-filters-ro	list_all	twda1
arms/A2/c01-filters-ro	list_attn	tg1
arms/A2/c01-filters-ro	list_attn	tg2b
arms/A2/c01-filters-ro	list_attn	tg2bl
arms/A2/c01-filters-ro	list_attn	tg2un
arms/A2/c01-filters-ro	list_attn	tg2wu
arms/A2/c01-filters-ro	list_attn	tg6a
arms/A2/c01-filters-ro	list_attn	tg6b
arms/A2/c01-filters-ro	list_attn	twda1
arms/A2/c01-filters-ro	list_attn	twda2
arms/A2/c01-filters-ro	list_attn	twda3
arms/A2/c01-filters-ro	list_badflag	tg1
arms/A2/c01-filters-ro	list_badflag	tg2b
arms/A2/c01-filters-ro	list_badflag	tg2bl
arms/A2/c01-filters-ro	list_badflag	tg2un
arms/A2/c01-filters-ro	list_badflag	tg2wu
arms/A2/c01-filters-ro	list_badflag	tg6a
arms/A2/c01-filters-ro	list_badflag	tg6b
arms/A2/c01-filters-ro	list_badflag	twda1
arms/A2/c01-filters-ro	list_badflag	twda2
arms/A2/c01-filters-ro	list_badflag	twda3
arms/A2/c01-filters-ro	list_busy	tg1
arms/A2/c01-filters-ro	list_busy	tg2b
arms/A2/c01-filters-ro	list_busy	tg2bl
arms/A2/c01-filters-ro	list_busy	tg2un
arms/A2/c01-filters-ro	list_busy	tg2wu
arms/A2/c01-filters-ro	list_busy	tg6a
arms/A2/c01-filters-ro	list_busy	tg6b
arms/A2/c01-filters-ro	list_busy	twda1
arms/A2/c01-filters-ro	list_busy	twda2
arms/A2/c01-filters-ro	list_busy	twda3
arms/A2/c01-filters-ro	list_help	tg1
arms/A2/c01-filters-ro	list_help	tg2b
arms/A2/c01-filters-ro	list_help	tg2bl
arms/A2/c01-filters-ro	list_help	tg2un
arms/A2/c01-filters-ro	list_help	tg2wu
arms/A2/c01-filters-ro	list_help	tg6a
arms/A2/c01-filters-ro	list_help	tg6b
arms/A2/c01-filters-ro	list_help	twda1
arms/A2/c01-filters-ro	list_help	twda2
arms/A2/c01-filters-ro	list_help	twda3
arms/A2/c01-filters-ro	list_needs	tg1
arms/A2/c01-filters-ro	list_needs	tg2b
arms/A2/c01-filters-ro	list_needs	tg2bl
arms/A2/c01-filters-ro	list_needs	tg2un
arms/A2/c01-filters-ro	list_needs	tg2wu
arms/A2/c01-filters-ro	list_needs	tg6a
arms/A2/c01-filters-ro	list_needs	tg6b
arms/A2/c01-filters-ro	list_needs	twda1
arms/A2/c01-filters-ro	list_needs	twda2
arms/A2/c01-filters-ro	list_needs	twda3
arms/A2/c01-filters-ro	list_needsattn	tg1
arms/A2/c01-filters-ro	list_needsattn	tg2b
arms/A2/c01-filters-ro	list_needsattn	tg2bl
arms/A2/c01-filters-ro	list_needsattn	tg2un
arms/A2/c01-filters-ro	list_needsattn	tg2wu
arms/A2/c01-filters-ro	list_needsattn	tg6a
arms/A2/c01-filters-ro	list_needsattn	tg6b
arms/A2/c01-filters-ro	list_needsattn	twda1
arms/A2/c01-filters-ro	list_needsattn	twda2
arms/A2/c01-filters-ro	list_needsattn	twda3
arms/A2/c01-filters-ro	list_needsme	tg1
arms/A2/c01-filters-ro	list_needsme	tg2b
arms/A2/c01-filters-ro	list_needsme	tg2bl
arms/A2/c01-filters-ro	list_needsme	tg2un
arms/A2/c01-filters-ro	list_needsme	tg2wu
arms/A2/c01-filters-ro	list_needsme	tg6a
arms/A2/c01-filters-ro	list_needsme	tg6b
arms/A2/c01-filters-ro	list_needsme	twda1
arms/A2/c01-filters-ro	list_needsme	twda2
arms/A2/c01-filters-ro	list_needsme	twda3
arms/A2/c01-filters-ro	list_running	tg1
arms/A2/c01-filters-ro	list_running	tg2b
arms/A2/c01-filters-ro	list_running	tg2bl
arms/A2/c01-filters-ro	list_running	tg2un
arms/A2/c01-filters-ro	list_running	tg2wu
arms/A2/c01-filters-ro	list_running	tg6a
arms/A2/c01-filters-ro	list_running	tg6b
arms/A2/c01-filters-ro	list_running	twda1
arms/A2/c01-filters-ro	list_running	twda2
arms/A2/c01-filters-ro	list_running	twda3
arms/A2/c01-filters-ro	ls	tg1
arms/A2/c01-filters-ro	ls	tg2b
arms/A2/c01-filters-ro	ls	tg2bl
arms/A2/c01-filters-ro	ls	tg2un
arms/A2/c01-filters-ro	ls	tg2wu
arms/A2/c01-filters-ro	ls	tg6a
arms/A2/c01-filters-ro	ls	tg6b
arms/A2/c01-filters-ro	ls	twda1
arms/A2/c01-filters-ro	ls	twda2
arms/A2/c01-filters-ro	ls	twda3
arms/A2/c01-filters-ro	ls_active	tg1
arms/A2/c01-filters-ro	ls_active	tg2b
arms/A2/c01-filters-ro	ls_active	tg2bl
arms/A2/c01-filters-ro	ls_active	tg2un
arms/A2/c01-filters-ro	ls_active	tg2wu
arms/A2/c01-filters-ro	ls_active	tg6a
arms/A2/c01-filters-ro	ls_active	tg6b
arms/A2/c01-filters-ro	ls_active	twda1
arms/A2/c01-filters-ro	ls_active	twda2
arms/A2/c01-filters-ro	ls_active	twda3
arms/A2/c01-filters-ro	ls_all	tg1
arms/A2/c01-filters-ro	ls_all	tg2b
arms/A2/c01-filters-ro	ls_all	tg2wu
arms/A2/c01-filters-ro	ls_all	twda1
arms/A2/c01-filters-ro	ls_attn	tg1
arms/A2/c01-filters-ro	ls_attn	tg2b
arms/A2/c01-filters-ro	ls_attn	tg2bl
arms/A2/c01-filters-ro	ls_attn	tg2un
arms/A2/c01-filters-ro	ls_attn	tg2wu
arms/A2/c01-filters-ro	ls_attn	tg6a
arms/A2/c01-filters-ro	ls_attn	tg6b
arms/A2/c01-filters-ro	ls_attn	twda1
arms/A2/c01-filters-ro	ls_attn	twda2
arms/A2/c01-filters-ro	ls_attn	twda3
arms/A2/c01-filters-ro	ls_busy	tg1
arms/A2/c01-filters-ro	ls_busy	tg2b
arms/A2/c01-filters-ro	ls_busy	tg2bl
arms/A2/c01-filters-ro	ls_busy	tg2un
arms/A2/c01-filters-ro	ls_busy	tg2wu
arms/A2/c01-filters-ro	ls_busy	tg6a
arms/A2/c01-filters-ro	ls_busy	tg6b
arms/A2/c01-filters-ro	ls_busy	twda1
arms/A2/c01-filters-ro	ls_busy	twda2
arms/A2/c01-filters-ro	ls_busy	twda3
arms/A2/c01-filters-ro	ls_needs	tg1
arms/A2/c01-filters-ro	ls_needs	tg2b
arms/A2/c01-filters-ro	ls_needs	tg2bl
arms/A2/c01-filters-ro	ls_needs	tg2un
arms/A2/c01-filters-ro	ls_needs	tg2wu
arms/A2/c01-filters-ro	ls_needs	tg6a
arms/A2/c01-filters-ro	ls_needs	tg6b
arms/A2/c01-filters-ro	ls_needs	twda1
arms/A2/c01-filters-ro	ls_needs	twda2
arms/A2/c01-filters-ro	ls_needs	twda3
arms/A2/c01-filters-ro	ls_needsattn	tg1
arms/A2/c01-filters-ro	ls_needsattn	tg2b
arms/A2/c01-filters-ro	ls_needsattn	tg2bl
arms/A2/c01-filters-ro	ls_needsattn	tg2un
arms/A2/c01-filters-ro	ls_needsattn	tg2wu
arms/A2/c01-filters-ro	ls_needsattn	tg6a
arms/A2/c01-filters-ro	ls_needsattn	tg6b
arms/A2/c01-filters-ro	ls_needsattn	twda1
arms/A2/c01-filters-ro	ls_needsattn	twda2
arms/A2/c01-filters-ro	ls_needsattn	twda3
arms/A2/c01-filters-ro	ls_needsme	tg1
arms/A2/c01-filters-ro	ls_needsme	tg2b
arms/A2/c01-filters-ro	ls_needsme	tg2bl
arms/A2/c01-filters-ro	ls_needsme	tg2un
arms/A2/c01-filters-ro	ls_needsme	tg2wu
arms/A2/c01-filters-ro	ls_needsme	tg6a
arms/A2/c01-filters-ro	ls_needsme	tg6b
arms/A2/c01-filters-ro	ls_needsme	twda1
arms/A2/c01-filters-ro	ls_needsme	twda2
arms/A2/c01-filters-ro	ls_needsme	twda3
arms/A2/c01-filters-ro	ls_running	tg1
arms/A2/c01-filters-ro	ls_running	tg2b
arms/A2/c01-filters-ro	ls_running	tg2bl
arms/A2/c01-filters-ro	ls_running	tg2un
arms/A2/c01-filters-ro	ls_running	tg2wu
arms/A2/c01-filters-ro	ls_running	tg6a
arms/A2/c01-filters-ro	ls_running	tg6b
arms/A2/c01-filters-ro	ls_running	twda1
arms/A2/c01-filters-ro	ls_running	twda2
arms/A2/c01-filters-ro	ls_running	twda3
arms/A2/c01-filters-ro	win_inside_active_all	tg1
arms/A2/c01-filters-ro	win_inside_active_all	tg2b
arms/A2/c01-filters-ro	win_inside_active_all	tg2bl
arms/A2/c01-filters-ro	win_inside_active_all	tg2un
arms/A2/c01-filters-ro	win_inside_active_all	tg2wu
arms/A2/c01-filters-ro	win_inside_active_all	tg6a
arms/A2/c01-filters-ro	win_inside_active_all	tg6b
arms/A2/c01-filters-ro	win_inside_active_all	twda1
arms/A2/c01-filters-ro	win_inside_active_all	twda2
arms/A2/c01-filters-ro	win_inside_active_all	twda3
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg1
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg2b
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg2bl
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg2un
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg2wu
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg6a
arms/A2/c01-filters-ro	win_inside_active_needsattn	tg6b
arms/A2/c01-filters-ro	win_inside_active_needsattn	twda1
arms/A2/c01-filters-ro	win_inside_active_needsattn	twda2
arms/A2/c01-filters-ro	win_inside_active_needsattn	twda3
arms/A2/c01-filters-ro	win_inside_all_active	tg1
arms/A2/c01-filters-ro	win_inside_all_active	tg2b
arms/A2/c01-filters-ro	win_inside_all_active	tg2bl
arms/A2/c01-filters-ro	win_inside_all_active	tg2un
arms/A2/c01-filters-ro	win_inside_all_active	tg2wu
arms/A2/c01-filters-ro	win_inside_all_active	tg6a
arms/A2/c01-filters-ro	win_inside_all_active	tg6b
arms/A2/c01-filters-ro	win_inside_all_active	twda1
arms/A2/c01-filters-ro	win_inside_all_active	twda2
arms/A2/c01-filters-ro	win_inside_all_active	twda3
arms/A2/c01-filters-ro	win_inside_list_active	tg1
arms/A2/c01-filters-ro	win_inside_list_active	tg2b
arms/A2/c01-filters-ro	win_inside_list_active	tg2bl
arms/A2/c01-filters-ro	win_inside_list_active	tg2un
arms/A2/c01-filters-ro	win_inside_list_active	tg2wu
arms/A2/c01-filters-ro	win_inside_list_active	tg6a
arms/A2/c01-filters-ro	win_inside_list_active	tg6b
arms/A2/c01-filters-ro	win_inside_list_active	twda1
arms/A2/c01-filters-ro	win_inside_list_active	twda2
arms/A2/c01-filters-ro	win_inside_list_active	twda3
arms/A2/c01-filters-ro	win_inside_list_busy	tg1
arms/A2/c01-filters-ro	win_inside_list_busy	tg2b
arms/A2/c01-filters-ro	win_inside_list_busy	tg2bl
arms/A2/c01-filters-ro	win_inside_list_busy	tg2un
arms/A2/c01-filters-ro	win_inside_list_busy	tg2wu
arms/A2/c01-filters-ro	win_inside_list_busy	tg6a
arms/A2/c01-filters-ro	win_inside_list_busy	tg6b
arms/A2/c01-filters-ro	win_inside_list_busy	twda1
arms/A2/c01-filters-ro	win_inside_list_busy	twda2
arms/A2/c01-filters-ro	win_inside_list_busy	twda3
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg1
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg2b
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg2bl
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg2un
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg2wu
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg6a
arms/A2/c01-filters-ro	win_inside_needsattn_active	tg6b
arms/A2/c01-filters-ro	win_inside_needsattn_active	twda1
arms/A2/c01-filters-ro	win_inside_needsattn_active	twda2
arms/A2/c01-filters-ro	win_inside_needsattn_active	twda3
arms/A2/c01-filters-ro	win_outside_active_all	tg1
arms/A2/c01-filters-ro	win_outside_active_all	tg2b
arms/A2/c01-filters-ro	win_outside_active_all	tg2bl
arms/A2/c01-filters-ro	win_outside_active_all	tg2un
arms/A2/c01-filters-ro	win_outside_active_all	tg2wu
arms/A2/c01-filters-ro	win_outside_active_all	tg6a
arms/A2/c01-filters-ro	win_outside_active_all	tg6b
arms/A2/c01-filters-ro	win_outside_active_all	twda1
arms/A2/c01-filters-ro	win_outside_active_all	twda2
arms/A2/c01-filters-ro	win_outside_active_all	twda3
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg1
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg2b
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg2bl
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg2un
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg2wu
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg6a
arms/A2/c01-filters-ro	win_outside_active_needsattn	tg6b
arms/A2/c01-filters-ro	win_outside_active_needsattn	twda1
arms/A2/c01-filters-ro	win_outside_active_needsattn	twda2
arms/A2/c01-filters-ro	win_outside_active_needsattn	twda3
arms/A2/c01-filters-ro	win_outside_all_active	tg1
arms/A2/c01-filters-ro	win_outside_all_active	tg2b
arms/A2/c01-filters-ro	win_outside_all_active	tg2bl
arms/A2/c01-filters-ro	win_outside_all_active	tg2un
arms/A2/c01-filters-ro	win_outside_all_active	tg2wu
arms/A2/c01-filters-ro	win_outside_all_active	tg6a
arms/A2/c01-filters-ro	win_outside_all_active	tg6b
arms/A2/c01-filters-ro	win_outside_all_active	twda1
arms/A2/c01-filters-ro	win_outside_all_active	twda2
arms/A2/c01-filters-ro	win_outside_all_active	twda3
arms/A2/c01-filters-ro	win_outside_list_active	tg1
arms/A2/c01-filters-ro	win_outside_list_active	tg2b
arms/A2/c01-filters-ro	win_outside_list_active	tg2bl
arms/A2/c01-filters-ro	win_outside_list_active	tg2un
arms/A2/c01-filters-ro	win_outside_list_active	tg2wu
arms/A2/c01-filters-ro	win_outside_list_active	tg6a
arms/A2/c01-filters-ro	win_outside_list_active	tg6b
arms/A2/c01-filters-ro	win_outside_list_active	twda1
arms/A2/c01-filters-ro	win_outside_list_active	twda2
arms/A2/c01-filters-ro	win_outside_list_active	twda3
arms/A2/c01-filters-ro	win_outside_list_busy	tg1
arms/A2/c01-filters-ro	win_outside_list_busy	tg2b
arms/A2/c01-filters-ro	win_outside_list_busy	tg2bl
arms/A2/c01-filters-ro	win_outside_list_busy	tg2un
arms/A2/c01-filters-ro	win_outside_list_busy	tg2wu
arms/A2/c01-filters-ro	win_outside_list_busy	tg6a
arms/A2/c01-filters-ro	win_outside_list_busy	tg6b
arms/A2/c01-filters-ro	win_outside_list_busy	twda1
arms/A2/c01-filters-ro	win_outside_list_busy	twda2
arms/A2/c01-filters-ro	win_outside_list_busy	twda3
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg1
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg2b
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg2bl
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg2un
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg2wu
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg6a
arms/A2/c01-filters-ro	win_outside_needsattn_active	tg6b
arms/A2/c01-filters-ro	win_outside_needsattn_active	twda1
arms/A2/c01-filters-ro	win_outside_needsattn_active	twda2
arms/A2/c01-filters-ro	win_outside_needsattn_active	twda3
arms/A2/c01-filters-rw	inter_activeall	tg1
arms/A2/c01-filters-rw	inter_activeall	tg2b
arms/A2/c01-filters-rw	inter_activeall	tg2bl
arms/A2/c01-filters-rw	inter_activeall	tg2un
arms/A2/c01-filters-rw	inter_activeall	tg2wu
arms/A2/c01-filters-rw	inter_activeall	tg6a
arms/A2/c01-filters-rw	inter_activeall	tg6b
arms/A2/c01-filters-rw	inter_activeall	twda1
arms/A2/c01-filters-rw	inter_activeall	twda2
arms/A2/c01-filters-rw	inter_activeall	twda3
arms/A2/c01-filters-rw	inter_allactive	tg1
arms/A2/c01-filters-rw	inter_allactive	tg2b
arms/A2/c01-filters-rw	inter_allactive	tg2bl
arms/A2/c01-filters-rw	inter_allactive	tg2un
arms/A2/c01-filters-rw	inter_allactive	tg2wu
arms/A2/c01-filters-rw	inter_allactive	tg6a
arms/A2/c01-filters-rw	inter_allactive	tg6b
arms/A2/c01-filters-rw	inter_allactive	twda1
arms/A2/c01-filters-rw	inter_allactive	twda2
arms/A2/c01-filters-rw	inter_allactive	twda3
arms/A2/c01-filters-rw	inter_allneedsattn	tg1
arms/A2/c01-filters-rw	inter_allneedsattn	tg2b
arms/A2/c01-filters-rw	inter_allneedsattn	tg2bl
arms/A2/c01-filters-rw	inter_allneedsattn	tg2un
arms/A2/c01-filters-rw	inter_allneedsattn	tg2wu
arms/A2/c01-filters-rw	inter_allneedsattn	tg6a
arms/A2/c01-filters-rw	inter_allneedsattn	tg6b
arms/A2/c01-filters-rw	inter_allneedsattn	twda1
arms/A2/c01-filters-rw	inter_allneedsattn	twda2
arms/A2/c01-filters-rw	inter_allneedsattn	twda3
arms/A2/c01-filters-rw	inter_needsattnall	tg1
arms/A2/c01-filters-rw	inter_needsattnall	tg2b
arms/A2/c01-filters-rw	inter_needsattnall	tg2bl
arms/A2/c01-filters-rw	inter_needsattnall	tg2un
arms/A2/c01-filters-rw	inter_needsattnall	tg2wu
arms/A2/c01-filters-rw	inter_needsattnall	tg6a
arms/A2/c01-filters-rw	inter_needsattnall	tg6b
arms/A2/c01-filters-rw	inter_needsattnall	twda1
arms/A2/c01-filters-rw	inter_needsattnall	twda2
arms/A2/c01-filters-rw	inter_needsattnall	twda3
arms/A2/c01-filters-rw	list	tg1
arms/A2/c01-filters-rw	list	tg2b
arms/A2/c01-filters-rw	list	tg2bl
arms/A2/c01-filters-rw	list	tg2un
arms/A2/c01-filters-rw	list	tg2wu
arms/A2/c01-filters-rw	list	tg6a
arms/A2/c01-filters-rw	list	tg6b
arms/A2/c01-filters-rw	list	twda1
arms/A2/c01-filters-rw	list	twda2
arms/A2/c01-filters-rw	list	twda3
arms/A2/c01-filters-rw	list_active	tg1
arms/A2/c01-filters-rw	list_active	tg2b
arms/A2/c01-filters-rw	list_active	tg2bl
arms/A2/c01-filters-rw	list_active	tg2un
arms/A2/c01-filters-rw	list_active	tg2wu
arms/A2/c01-filters-rw	list_active	tg6a
arms/A2/c01-filters-rw	list_active	tg6b
arms/A2/c01-filters-rw	list_active	twda1
arms/A2/c01-filters-rw	list_active	twda2
arms/A2/c01-filters-rw	list_active	twda3
arms/A2/c01-filters-rw	list_all	tg1
arms/A2/c01-filters-rw	list_all	tg2b
arms/A2/c01-filters-rw	list_all	tg2wu
arms/A2/c01-filters-rw	list_all	twda1
arms/A2/c01-filters-rw	list_attn	tg1
arms/A2/c01-filters-rw	list_attn	tg2b
arms/A2/c01-filters-rw	list_attn	tg2bl
arms/A2/c01-filters-rw	list_attn	tg2un
arms/A2/c01-filters-rw	list_attn	tg2wu
arms/A2/c01-filters-rw	list_attn	tg6a
arms/A2/c01-filters-rw	list_attn	tg6b
arms/A2/c01-filters-rw	list_attn	twda1
arms/A2/c01-filters-rw	list_attn	twda2
arms/A2/c01-filters-rw	list_attn	twda3
arms/A2/c01-filters-rw	list_badflag	tg1
arms/A2/c01-filters-rw	list_badflag	tg2b
arms/A2/c01-filters-rw	list_badflag	tg2bl
arms/A2/c01-filters-rw	list_badflag	tg2un
arms/A2/c01-filters-rw	list_badflag	tg2wu
arms/A2/c01-filters-rw	list_badflag	tg6a
arms/A2/c01-filters-rw	list_badflag	tg6b
arms/A2/c01-filters-rw	list_badflag	twda1
