seq=001	utc=2026-08-20T16:40:36Z	epoch=1787244037	event=case-OPEN	arm=A1 case=c14-display-only-legacy clone_mode=ro frozen_sha=72c729343a0117af2968b66e1c43f89ad25fc0b2 frozen_ae_sha256=b7b8aa9fb77afc0705abdfaadf60cc58911f1cac46fe2ec993578fe5451575fd
seq=016	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-START	label=ls-alias bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls 
seq=017	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-COMPLETE	label=ls-alias rc=0 stdout_sha256=c7b752d6ce10684cc7c833182b503a8aff6c760dca1adae88236ebd5b2e0ab71 stderr_sha256=- tmuxtrace_sha256=b959c28d003cd6bf5526163053ee706328561267383925969a98483395feac6a harness_stopped=no
seq=018	utc=2026-08-20T16:40:38Z	epoch=1787244038	event=consumer-START	label=ls-alias-all bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae ls --all 
seq=019	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-COMPLETE	label=ls-alias-all rc=0 stdout_sha256=18b44c0c5883bbb4e911b1fb693734a3696edab34f97804702b7eb1b6393148d stderr_sha256=- tmuxtrace_sha256=b85bea5aecaec918003c0302be5d8ff8f7f2464facbc92f4e1d1d672c68b96eb harness_stopped=no
seq=020	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-START	label=status bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae status tg1 
seq=021	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-COMPLETE	label=status rc=0 stdout_sha256=ca3dd087ac54264330dcb6e76ffe328e76f216532feebe5a5d0ca98ce45cd2a5 stderr_sha256=- tmuxtrace_sha256=61ce21d6232bb4bcd02a3247b1b5151dfce968fe35f81436e5b4251c02d4d28e harness_stopped=no
seq=022	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-START	label=next bounded_secs=0 argv=/opt/homebrew/bin/bash /private/tmp/claude-501/-Users-ckriech-projects-clemens33-ae-rust/347d2089-7268-421d-8188-8924e246bbf0/scratchpad/frozen/ae next 
seq=023	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-COMPLETE	label=next rc=1 stdout_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 stderr_sha256=97525521541915928a285effd06b3c08937e7f6c57e238a7ecc6737c5284202d tmuxtrace_sha256=b4601a2f473f514b4adce341fd41ab8f41d4c875e50acd8992dffe56e2ad203a harness_stopped=no
seq=024	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-START	label=requests-all bounded_secs=0 argv=/tmp/aecx/arms/A1/c14-display-only-legacy-ro/home/.ae/sessions/tg1/requests all 
seq=025	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-COMPLETE	label=requests-all rc=0 stdout_sha256=842a3e174a3497beca9dcd53bf480bfedcc9abff66d86815c2c71c6984fe4299 stderr_sha256=- tmuxtrace_sha256=fde84227a86e62a2632bb1b237203807bfc56c9ebb0abd80c2c20192dbe500b1 harness_stopped=no
seq=026	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-START	label=agents bounded_secs=0 argv=/tmp/aecx/arms/A1/c14-display-only-legacy-ro/home/.ae/sessions/tg1/agents 
seq=027	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-COMPLETE	label=agents rc=0 stdout_sha256=a594ce83fe3f952cf4d95ea89fe0330736c590a9400c22468b5d4fe6b520cd0f stderr_sha256=- tmuxtrace_sha256=6e5ef339f11e0a88c8e7aa6eb303dc450fbdb333e2536d2b88d549ba50542898 harness_stopped=no
seq=028	utc=2026-08-20T16:40:39Z	epoch=1787244039	event=consumer-START	label=events-tail bounded_secs=4 argv=/tmp/aecx/arms/A1/c14-display-only-legacy-ro/home/.ae/sessions/tg1/events-tail 
seq=029	utc=2026-08-20T16:40:44Z	epoch=1787244044	event=consumer-COMPLETE	label=events-tail rc=143 stdout_sha256=24c968d4e5263a883615a70c4dda17edeed5318c478c05746c489c38550f8e17 stderr_sha256=11254568ca77c6fc472f373fcd5260000b5f280e4be3cf9e4382417ff932e3a7 tmuxtrace_sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 harness_stopped=yes
seq=030	utc=2026-08-20T16:40:44Z	epoch=1787244044	event=manifest-after	artifact_sha256=6d2ecd219feb5a0e2f77a46f9bee6b2ea5bf01e6841a438e6e096b3a9fe05d52
seq=031	utc=2026-08-20T16:40:44Z	epoch=1787244044	event=manifest-diff	lines=0
seq=032	utc=2026-08-20T16:40:44Z	epoch=1787244044	event=case-CLOSE	case_txt_sha256=5c88e8658c5c46356171c50fc9fc582be4e8333ab67e1b8950af9a16791d99e2 consumers_tsv_sha256=125156c877c2ab22dced3daf7bafbd5a0559dc64d0750ecc84bcd46cc209012f
