## every process of this uid, classified by REACH (its own AE_HOME), not by name
fixture_ae_home=/tmp/aecx/h/l1787267177/home/.ae
arm_token=AE_H_ARM_TOKEN_13780_1787267166
## macOS exposes an environment to ps e for only some processes; one it cannot
## read is UNKNOWN-REACH, not out-of-range.
pid	ppid	reach	token	ae_home
1691	1	UNKNOWN-REACH	unknown	<env unreadable>
1697	1	UNKNOWN-REACH	unknown	<env unreadable>
1718	1	UNKNOWN-REACH	unknown	<env unreadable>
1721	1	UNKNOWN-REACH	unknown	<env unreadable>
1766	1	out-of-range	no	/tmp/aecx/h/h3h/home/.ae
1924	1	UNKNOWN-REACH	unknown	<env unreadable>
1960	1	UNKNOWN-REACH	unknown	<env unreadable>
1997	1652	UNKNOWN-REACH	unknown	<env unreadable>
2000	1652	UNKNOWN-REACH	unknown	<env unreadable>
2007	1652	UNKNOWN-REACH	unknown	<env unreadable>
2017	1	out-of-range	no	<none>
2053	1654	out-of-range	no	<none>
2056	1654	out-of-range	no	<none>
2063	1	out-of-range	no	/tmp/aecx/h/h6/home/.ae
2127	1640	UNKNOWN-REACH	unknown	<env unreadable>
2253	1654	out-of-range	no	<none>
2256	1654	out-of-range	no	<none>
2257	1	UNKNOWN-REACH	unknown	<env unreadable>
2262	1	UNKNOWN-REACH	unknown	<env unreadable>
2263	1	UNKNOWN-REACH	unknown	<env unreadable>
2296	1654	out-of-range	no	<none>
2366	1652	UNKNOWN-REACH	unknown	<env unreadable>
2367	1654	out-of-range	no	<none>
2382	1654	out-of-range	no	<none>
2388	1654	out-of-range	no	<none>
2390	1654	out-of-range	no	<none>
2395	1654	out-of-range	no	<none>
2396	1654	out-of-range	no	<none>
2397	1654	out-of-range	no	<none>
2401	1654	out-of-range	no	<none>
2412	1640	UNKNOWN-REACH	unknown	<env unreadable>
2558	1	UNKNOWN-REACH	unknown	<env unreadable>
2568	1	UNKNOWN-REACH	unknown	<env unreadable>
2569	2382	out-of-range	no	<none>
2570	2390	out-of-range	no	<none>
2581	2388	out-of-range	no	<none>
2585	1652	UNKNOWN-REACH	unknown	<env unreadable>
2595	1652	UNKNOWN-REACH	unknown	<env unreadable>
2600	1652	UNKNOWN-REACH	unknown	<env unreadable>
2614	1652	UNKNOWN-REACH	unknown	<env unreadable>
2657	1	UNKNOWN-REACH	unknown	<env unreadable>
2662	1	UNKNOWN-REACH	unknown	<env unreadable>
2663	1	UNKNOWN-REACH	unknown	<env unreadable>
2669	1	UNKNOWN-REACH	unknown	<env unreadable>
2685	1	UNKNOWN-REACH	unknown	<env unreadable>
2687	1	out-of-range	no	<none>
2688	1	out-of-range	no	<none>
2691	1	out-of-range	no	<none>
2692	1	UNKNOWN-REACH	unknown	<env unreadable>
2695	1	out-of-range	no	<none>
2696	1	out-of-range	no	<none>
2697	1	UNKNOWN-REACH	unknown	<env unreadable>
2698	1	out-of-range	no	<none>
2701	1	out-of-range	no	<none>
2706	1	UNKNOWN-REACH	unknown	<env unreadable>
2709	1	UNKNOWN-REACH	unknown	<env unreadable>
2711	1	out-of-range	no	<none>
2712	1	out-of-range	no	<none>
2715	1	UNKNOWN-REACH	unknown	<env unreadable>
2718	1	out-of-range	no	<none>
2722	1	UNKNOWN-REACH	unknown	<env unreadable>
2728	1	out-of-range	no	<none>
2742	1	UNKNOWN-REACH	unknown	<env unreadable>
2743	1	UNKNOWN-REACH	unknown	<env unreadable>
2752	1	UNKNOWN-REACH	unknown	<env unreadable>
2754	1	UNKNOWN-REACH	unknown	<env unreadable>
2756	1	out-of-range	no	<none>
2757	1652	UNKNOWN-REACH	unknown	<env unreadable>
2758	1652	UNKNOWN-REACH	unknown	<env unreadable>
2759	1	UNKNOWN-REACH	unknown	<env unreadable>
2761	1	out-of-range	no	<none>
2766	1	out-of-range	no	<none>
2770	1	out-of-range	no	<none>
2788	1	UNKNOWN-REACH	unknown	<env unreadable>
2797	1	UNKNOWN-REACH	unknown	<env unreadable>
2801	1	UNKNOWN-REACH	unknown	<env unreadable>
2802	1	UNKNOWN-REACH	unknown	<env unreadable>
2805	1	out-of-range	no	<none>
2809	1	out-of-range	no	<none>
2810	1	UNKNOWN-REACH	unknown	<env unreadable>
2813	1	UNKNOWN-REACH	unknown	<env unreadable>
2816	1	out-of-range	no	<none>
2817	1	UNKNOWN-REACH	unknown	<env unreadable>
2818	1	out-of-range	no	<none>
2824	1	out-of-range	no	<none>
2825	1	out-of-range	no	<none>
2827	1	UNKNOWN-REACH	unknown	<env unreadable>
2828	1	out-of-range	no	<none>
2834	1	UNKNOWN-REACH	unknown	<env unreadable>
2835	1	UNKNOWN-REACH	unknown	<env unreadable>
2842	1	out-of-range	no	<none>
2850	1	UNKNOWN-REACH	unknown	<env unreadable>
2999	1	out-of-range	no	<none>
3018	1	UNKNOWN-REACH	unknown	<env unreadable>
3214	16514	UNKNOWN-REACH	unknown	<env unreadable>
3221	3214	out-of-range	no	/Users/ckriech/.ae
3388	3221	out-of-range	no	/Users/ckriech/.ae
3440	3388	out-of-range	no	/Users/ckriech/.ae
3821	1640	UNKNOWN-REACH	unknown	<env unreadable>
3824	1640	UNKNOWN-REACH	unknown	<env unreadable>
3827	1640	UNKNOWN-REACH	unknown	<env unreadable>
3840	1	out-of-range	no	<none>
3841	1	UNKNOWN-REACH	unknown	<env unreadable>
3843	1640	UNKNOWN-REACH	unknown	<env unreadable>
3844	1640	UNKNOWN-REACH	unknown	<env unreadable>
3851	1640	UNKNOWN-REACH	unknown	<env unreadable>
3852	1640	UNKNOWN-REACH	unknown	<env unreadable>
3853	1640	UNKNOWN-REACH	unknown	<env unreadable>
3854	1640	UNKNOWN-REACH	unknown	<env unreadable>
3860	1640	out-of-range	no	<none>
4064	1	UNKNOWN-REACH	unknown	<env unreadable>
4307	1640	UNKNOWN-REACH	unknown	<env unreadable>
4408	1640	UNKNOWN-REACH	unknown	<env unreadable>
4409	1640	UNKNOWN-REACH	unknown	<env unreadable>
4444	1640	UNKNOWN-REACH	unknown	<env unreadable>
4445	1640	UNKNOWN-REACH	unknown	<env unreadable>
4504	1	out-of-range	no	/tmp/aecx/h/h5/home/.ae
4667	1640	UNKNOWN-REACH	unknown	<env unreadable>
4700	1	UNKNOWN-REACH	unknown	<env unreadable>
4701	1	out-of-range	no	<none>
4702	1	out-of-range	no	<none>
4703	1	out-of-range	no	<none>
4704	1	UNKNOWN-REACH	unknown	<env unreadable>
4705	1	out-of-range	no	<none>
4706	1	UNKNOWN-REACH	unknown	<env unreadable>
4707	1	out-of-range	no	<none>
4708	1	UNKNOWN-REACH	unknown	<env unreadable>
5114	1640	UNKNOWN-REACH	unknown	<env unreadable>
5164	1640	UNKNOWN-REACH	unknown	<env unreadable>
5291	1	out-of-range	no	<none>
5611	1640	UNKNOWN-REACH	unknown	<env unreadable>
6460	1640	UNKNOWN-REACH	unknown	<env unreadable>
6739	1640	UNKNOWN-REACH	unknown	<env unreadable>
6765	1	out-of-range	no	/tmp/aecx/h/h3i/home/.ae
6900	1652	UNKNOWN-REACH	unknown	<env unreadable>
7420	1640	UNKNOWN-REACH	unknown	<env unreadable>
7505	1640	UNKNOWN-REACH	unknown	<env unreadable>
8423	1640	UNKNOWN-REACH	unknown	<env unreadable>
8435	1652	UNKNOWN-REACH	unknown	<env unreadable>
8458	1	UNKNOWN-REACH	unknown	<env unreadable>
8653	1640	UNKNOWN-REACH	unknown	<env unreadable>
9557	3440	out-of-range	no	/Users/ckriech/.ae
9891	1	out-of-range	no	/tmp/aecx/h/h3j/home/.ae
10288	1640	UNKNOWN-REACH	unknown	<env unreadable>
10483	1640	UNKNOWN-REACH	unknown	<env unreadable>
10654	1640	UNKNOWN-REACH	unknown	<env unreadable>
10921	1	UNKNOWN-REACH	unknown	<env unreadable>
11252	1	UNKNOWN-REACH	unknown	<env unreadable>
11253	1	UNKNOWN-REACH	unknown	<env unreadable>
11359	1	UNKNOWN-REACH	unknown	<env unreadable>
11360	1	UNKNOWN-REACH	unknown	<env unreadable>
11361	1	UNKNOWN-REACH	unknown	<env unreadable>
11362	1	UNKNOWN-REACH	unknown	<env unreadable>
11364	1	UNKNOWN-REACH	unknown	<env unreadable>
11366	1	UNKNOWN-REACH	unknown	<env unreadable>
11367	1	UNKNOWN-REACH	unknown	<env unreadable>
11368	1	UNKNOWN-REACH	unknown	<env unreadable>
11369	1	UNKNOWN-REACH	unknown	<env unreadable>
11370	1	UNKNOWN-REACH	unknown	<env unreadable>
11572	1	UNKNOWN-REACH	unknown	<env unreadable>
11575	1	UNKNOWN-REACH	unknown	<env unreadable>
11576	1	UNKNOWN-REACH	unknown	<env unreadable>
11580	1	UNKNOWN-REACH	unknown	<env unreadable>
11581	1	UNKNOWN-REACH	unknown	<env unreadable>
11582	1	UNKNOWN-REACH	unknown	<env unreadable>
11583	1	UNKNOWN-REACH	unknown	<env unreadable>
11584	1	UNKNOWN-REACH	unknown	<env unreadable>
11585	1	UNKNOWN-REACH	unknown	<env unreadable>
11587	1	UNKNOWN-REACH	unknown	<env unreadable>
11621	1652	UNKNOWN-REACH	unknown	<env unreadable>
11626	1	UNKNOWN-REACH	unknown	<env unreadable>
12001	1640	UNKNOWN-REACH	unknown	<env unreadable>
12434	1640	UNKNOWN-REACH	unknown	<env unreadable>
12472	1640	UNKNOWN-REACH	unknown	<env unreadable>
12857	1	UNKNOWN-REACH	unknown	<env unreadable>
13617	7979	out-of-range	no	<none>
13746	1	UNKNOWN-REACH	unknown	<env unreadable>
13780	13617	out-of-range	no	/Users/ckriech/.ae
13781	13617	UNKNOWN-REACH	unknown	<env unreadable>
14120	1	UNKNOWN-REACH	unknown	<env unreadable>
14164	1640	UNKNOWN-REACH	unknown	<env unreadable>
14331	1640	UNKNOWN-REACH	unknown	<env unreadable>
14466	7979	UNKNOWN-REACH	unknown	<env unreadable>
15909	1	out-of-range	no	/tmp/aecx/h/l1787266958/home/.ae
16511	1640	UNKNOWN-REACH	unknown	<env unreadable>
16547	1	UNKNOWN-REACH	unknown	<env unreadable>
16569	1	UNKNOWN-REACH	unknown	<env unreadable>
16571	1	UNKNOWN-REACH	unknown	<env unreadable>
16576	1	UNKNOWN-REACH	unknown	<env unreadable>
16577	1	UNKNOWN-REACH	unknown	<env unreadable>
16591	1	UNKNOWN-REACH	unknown	<env unreadable>
16593	1	UNKNOWN-REACH	unknown	<env unreadable>
16595	1	UNKNOWN-REACH	unknown	<env unreadable>
16597	1	UNKNOWN-REACH	unknown	<env unreadable>
16601	1	UNKNOWN-REACH	unknown	<env unreadable>
16604	1	UNKNOWN-REACH	unknown	<env unreadable>
16607	1	UNKNOWN-REACH	unknown	<env unreadable>
16609	1	UNKNOWN-REACH	unknown	<env unreadable>
16612	1	UNKNOWN-REACH	unknown	<env unreadable>
16726	1	UNKNOWN-REACH	unknown	<env unreadable>
16936	1	UNKNOWN-REACH	unknown	<env unreadable>
16952	1	UNKNOWN-REACH	unknown	<env unreadable>
16961	1	UNKNOWN-REACH	unknown	<env unreadable>
16965	16952	UNKNOWN-REACH	unknown	<env unreadable>
16966	16952	UNKNOWN-REACH	unknown	<env unreadable>
16967	16952	UNKNOWN-REACH	unknown	<env unreadable>
17084	16952	UNKNOWN-REACH	unknown	<env unreadable>
17214	16514	UNKNOWN-REACH	unknown	<env unreadable>
17285	1	UNKNOWN-REACH	unknown	<env unreadable>
17404	1640	UNKNOWN-REACH	unknown	<env unreadable>
17506	1	UNKNOWN-REACH	unknown	<env unreadable>
17509	1	UNKNOWN-REACH	unknown	<env unreadable>
17646	1	out-of-range	no	/tmp/aeb0/d7/dbg/home/.ae
17778	1640	UNKNOWN-REACH	unknown	<env unreadable>
18171	17214	out-of-range	no	/Users/ckriech/.ae
18208	18171	out-of-range	no	/Users/ckriech/.ae
18209	18208	out-of-range	no	/Users/ckriech/.ae
18243	16952	UNKNOWN-REACH	unknown	<env unreadable>
18329	1	out-of-range	no	/tmp/aecx/h/h6/home/.ae
18332	16952	UNKNOWN-REACH	unknown	<env unreadable>
18788	1640	UNKNOWN-REACH	unknown	<env unreadable>
18973	1	UNKNOWN-REACH	unknown	<env unreadable>
19019	1	UNKNOWN-REACH	unknown	<env unreadable>
20411	18209	out-of-range	no	/Users/ckriech/.ae
20571	1640	UNKNOWN-REACH	unknown	<env unreadable>
21251	1	UNKNOWN-REACH	unknown	<env unreadable>
21253	1	UNKNOWN-REACH	unknown	<env unreadable>
21579	1	UNKNOWN-REACH	unknown	<env unreadable>
22039	1640	UNKNOWN-REACH	unknown	<env unreadable>
22075	1	UNKNOWN-REACH	unknown	<env unreadable>
22076	1	UNKNOWN-REACH	unknown	<env unreadable>
22083	1	UNKNOWN-REACH	unknown	<env unreadable>
22437	1	UNKNOWN-REACH	unknown	<env unreadable>
22440	1	UNKNOWN-REACH	unknown	<env unreadable>
22441	1	UNKNOWN-REACH	unknown	<env unreadable>
22442	1	UNKNOWN-REACH	unknown	<env unreadable>
22443	1	UNKNOWN-REACH	unknown	<env unreadable>
22444	1	UNKNOWN-REACH	unknown	<env unreadable>
22445	1	UNKNOWN-REACH	unknown	<env unreadable>
22448	1	UNKNOWN-REACH	unknown	<env unreadable>
22449	1	UNKNOWN-REACH	unknown	<env unreadable>
22450	1	UNKNOWN-REACH	unknown	<env unreadable>
22451	1	UNKNOWN-REACH	unknown	<env unreadable>
22452	1	UNKNOWN-REACH	unknown	<env unreadable>
22462	1	UNKNOWN-REACH	unknown	<env unreadable>
22466	1	UNKNOWN-REACH	unknown	<env unreadable>
22467	1	UNKNOWN-REACH	unknown	<env unreadable>
22501	1	UNKNOWN-REACH	unknown	<env unreadable>
22559	1	UNKNOWN-REACH	unknown	<env unreadable>
22665	1	UNKNOWN-REACH	unknown	<env unreadable>
22685	1	UNKNOWN-REACH	unknown	<env unreadable>
22698	1	UNKNOWN-REACH	unknown	<env unreadable>
22712	1	UNKNOWN-REACH	unknown	<env unreadable>
22713	1	UNKNOWN-REACH	unknown	<env unreadable>
22724	1	UNKNOWN-REACH	unknown	<env unreadable>
22725	1	UNKNOWN-REACH	unknown	<env unreadable>
22727	1	UNKNOWN-REACH	unknown	<env unreadable>
22728	1	UNKNOWN-REACH	unknown	<env unreadable>
22729	1	UNKNOWN-REACH	unknown	<env unreadable>
22730	1	UNKNOWN-REACH	unknown	<env unreadable>
22731	1	UNKNOWN-REACH	unknown	<env unreadable>
22732	1	UNKNOWN-REACH	unknown	<env unreadable>
22733	1	UNKNOWN-REACH	unknown	<env unreadable>
22742	1	UNKNOWN-REACH	unknown	<env unreadable>
22754	1	UNKNOWN-REACH	unknown	<env unreadable>
22758	1	UNKNOWN-REACH	unknown	<env unreadable>
22761	1	UNKNOWN-REACH	unknown	<env unreadable>
22762	1	UNKNOWN-REACH	unknown	<env unreadable>
22763	1	UNKNOWN-REACH	unknown	<env unreadable>
22802	1640	UNKNOWN-REACH	unknown	<env unreadable>
22846	1	UNKNOWN-REACH	unknown	<env unreadable>
22871	1	UNKNOWN-REACH	unknown	<env unreadable>
23063	1	UNKNOWN-REACH	unknown	<env unreadable>
23077	1	UNKNOWN-REACH	unknown	<env unreadable>
23078	1	UNKNOWN-REACH	unknown	<env unreadable>
23092	1	UNKNOWN-REACH	unknown	<env unreadable>
23093	1	UNKNOWN-REACH	unknown	<env unreadable>
23094	1	UNKNOWN-REACH	unknown	<env unreadable>
23095	1	UNKNOWN-REACH	unknown	<env unreadable>
23107	1	UNKNOWN-REACH	unknown	<env unreadable>
23448	1	UNKNOWN-REACH	unknown	<env unreadable>
23449	1	UNKNOWN-REACH	unknown	<env unreadable>
23496	1640	UNKNOWN-REACH	unknown	<env unreadable>
23838	1	UNKNOWN-REACH	unknown	<env unreadable>
23870	1	UNKNOWN-REACH	unknown	<env unreadable>
23922	1	UNKNOWN-REACH	unknown	<env unreadable>
24149	1	UNKNOWN-REACH	unknown	<env unreadable>
24331	1	UNKNOWN-REACH	unknown	<env unreadable>
24339	1	UNKNOWN-REACH	unknown	<env unreadable>
24340	1	UNKNOWN-REACH	unknown	<env unreadable>
24341	1	UNKNOWN-REACH	unknown	<env unreadable>
24344	1	UNKNOWN-REACH	unknown	<env unreadable>
24348	1	UNKNOWN-REACH	unknown	<env unreadable>
24354	1	UNKNOWN-REACH	unknown	<env unreadable>
24355	1	UNKNOWN-REACH	unknown	<env unreadable>
24356	1	UNKNOWN-REACH	unknown	<env unreadable>
24357	1	UNKNOWN-REACH	unknown	<env unreadable>
24358	1	UNKNOWN-REACH	unknown	<env unreadable>
24361	1	UNKNOWN-REACH	unknown	<env unreadable>
24362	1	UNKNOWN-REACH	unknown	<env unreadable>
24368	1	UNKNOWN-REACH	unknown	<env unreadable>
24371	1	UNKNOWN-REACH	unknown	<env unreadable>
24372	1	UNKNOWN-REACH	unknown	<env unreadable>
24376	1	UNKNOWN-REACH	unknown	<env unreadable>
24417	1	UNKNOWN-REACH	unknown	<env unreadable>
24434	1	UNKNOWN-REACH	unknown	<env unreadable>
24614	1	UNKNOWN-REACH	unknown	<env unreadable>
24627	1	UNKNOWN-REACH	unknown	<env unreadable>
24628	1	UNKNOWN-REACH	unknown	<env unreadable>
24629	1	UNKNOWN-REACH	unknown	<env unreadable>
25117	16514	UNKNOWN-REACH	unknown	<env unreadable>
25119	25117	out-of-range	no	/Users/ckriech/.ae
25150	25119	out-of-range	no	/Users/ckriech/.ae
25151	25150	out-of-range	no	/Users/ckriech/.ae
25204	1640	UNKNOWN-REACH	unknown	<env unreadable>
25248	1	out-of-range	no	/tmp/aecx/h/h3a/home/.ae
26059	25151	out-of-range	no	/Users/ckriech/.ae
26271	1	UNKNOWN-REACH	unknown	<env unreadable>
